Tipo,Projeto,Cliente Final,Status,Valor Geral,EPC_Type,EPC
UFV,Eliseu Martins,Sem cliente final,2024,2900730.17,EPC3, 
UFV,Fótons de São M. FASE 1,Pan American Energy,2024,8548163.49,EPC3, 
UFV,Fótons de São M. FASE 2,Pan American Energy,2024,4842048.0,EPC3, 
SE,Frederico Westphalen,EDPR,Perdeu,882182.94,EPC3, 
UHE ,Funil de Lavras,Aliança Energia,2024,985138.58,EPC3, 
OUT,Futura - Ampliar Autonomia,Eneva,2024,0.0,EPC3, 
UFV,Irapuru,Elera ,2024,7906990.84,EPC3, 
UFV,Irecê II,Sem cliente final,2024,2676053.73,EPC3, 
UFV,Lagoinha,CGN,2024,3856450.4,EPC3, 
UFV,Luis Carlos A,Atlas Renewable,2024,6044932.24,EPC3,Nova Engevix
UFV,Luis Carlos B,Atlas Renewable,2024,7302142.19,EPC3, 
UFV,Monte Verde 2,Sem cliente final,2024,4594991.67,EPC3, 
UFV,Morro dos Cruzeiros,Statkraft,2024,2427566.87,EPC3, 
REF,Refinaria Abreu e Lima,Petrobrás,2024,2694235.14,EPC3, 
UFV,Riacho da Serra (Opção Fence),Exus Brasil,2024,4997612.63,EPC3, 
UFV,Santa Eugênia,Statkraft,2024,4829741.81,EPC3, 
UFV,Santa Luzia,Rio Alto,2024,2786008.29,EPC3, 
EOL,Santo Agostinho,Engie,2024,0.0,EPC3, 
UFV,São Vitor (Opção Fence),Essentia,2024,2981764.52,EPC3,Dois A / Motrice
UFV,Serra do Mel 7,Voltalia,2024,5349318.28,EPC3, 
UFV,Serrita,Eco Energia,Ganhou,2558786.06,EPC3, 
UFV,Sobral,Cubico ,Perdeu,8577698.89,EPC3, 
UFV ,Sol de Várzea,Matrix,2024,2225674.49,EPC3, 
UFV,Sol do Agreste (Opção Fence),Atiaia,2024,6737698.81,EPC3, 
UFV,Sol Serena,Sem cliente final,2024,2490716.73,EPC3, 
EOL,Trairí,Engie,2024,3753045.34,EPC3, 
SE,Vista Alegre,Atlas  ,Perdeu,1108544.64,EPC3, 
OUT,Vista Alegre - Prédio O&M,Atlas,2024,334035.1,EPC3, 
UFV,Arapuã,Kroma,2025,4176536.65,EPC3, 
SE,Assú Solar,Engie,2025,897045.12,EPC3, 
UFV ,Aventura (GD?),Copel,2025,0.0,EPC3, 
UFV,Barro do Alto,Green Yellow,2025,6268280.69,EPC3, 
UFV,Bom Jardim 2 e 5,Qair,2025,1793174.78,EPC3, 
UFV,Bom Lugar,LigthSource,2025,4697505.67,EPC3, 
UFV ,Bonito PERIMETRAL,Neoenergia,2025,8901675.76,EPC3, 
UFV,Cobra I a X (UFV LINS?),Sem cliente final,2025,3370233.44,EPC3, 
UFV,Cruzeiro do  Sul,Newave,2025,4299962.44,EPC3, 
UFV,da Solatio,Sem cliente final,2025,0.0,EPC3, 
UFV,Humaita,Ibvgot,2025,3933497.83,EPC3, 
UFV,Lagoa  ,EDPR,2025,4479498.35,EPC3, 
UFV,Lagoa do Sol I a V,Enel Green Power,2025,3861257.66,EPC3, 
UFV,Sagarana,Essentia,2025,9910163.59,EPC3,Sigdo Koopers
UFV,Sol do Araripe,Auren,2025,4396545.58,EPC3, 
UFV,Sol do Piauí ll,Auren,2025,2741894.32,EPC3, 
UFV,Sol do Piauí lll,Auren,2025,2779684.49,EPC3, 
EOL,Aroeira,Sem cliente final,Sem Previsão,0.0,EPC3, 
EOL,Brejinhos ,Sem cliente final,Sem Previsão,0.0,EPC3, 
UFV,Caatinga 23 (GD?),Helexia,Sem Previsão,0.0,EPC3, 
EOL ,Cajuína,Sem cliente final,Sem Previsão,0.0,EPC3, 
UFV ,Coração de Maria (GD?),Helexia,Sem Previsão,0.0,EPC3, 
EOL,Coxilha Negra,Eletrobrás,Sem Previsão,0.0,EPC3, 
UFV,Cristalina,X-Elio,Sem Previsão,5838264.66,EPC3, 
UFV,Fenix,EDPR,Sem Previsão,8699635.5,EPC3, 
OUT,Fenix Alimentação Autônoma,EDPR,Sem Previsão,5918711.39,EPC3, 
UFV ,Fótons de São Zacarias,Sem cliente final,Sem Previsão,3521143.23,EPC3, 
UFV,Genesis,Pontoon,Sem Previsão,4209413.37,EPC3, 
SE,Luziânia,StateGrid,Sem Previsão,1954877.52,EPC3, 
UFV,Mauriti,PowerChina,Sem Previsão,12877386.28,EPC3, 
UFV,Minas do Sol,EDPR,Sem Previsão,4581225.21,EPC3,Grupo Agis
EOL,Passagens,Sem cliente final,Sem Previsão,0.0,EPC3, 
EOL,Pedra Pintada,Enel,Sem Previsão,0.0,EPC3, 
SE,Piaui Níquel,Sem cliente final,Sem Previsão,1347322.4,EPC3, 
UFV,Serena,Sem cliente final,Sem Previsão,2490716.73,EPC3, 
UFV,Serra da Babilônia,Rio Energy,Sem Previsão,3606482.02,EPC3, 
EOL,Serra das Vacas,Sem cliente final,Sem Previsão,0.0,EPC3, 
EOL,Serra do Assuruá,Engie,Sem Previsão,0.0,EPC3, 
UFV ,Sol 345,Serena,Sem Previsão,2490716.73,EPC3, 
UFV,Sol de Várzea,Matrix,Sem Previsão,2225674.49,EPC3, 
TUN,Túnel Piraí,Light ,Sem Previsão,155887.24,EPC3, 
EOL,Ventos de Santa Luzia,Sem cliente final,Sem Previsão,0.0,EPC3, 
EOL,Ventos de São Roque,Sem cliente final,Sem Previsão,0.0,EPC3, 
EOL,Ventos de São Zacarias,Sem cliente final,Sem Previsão,0.0,EPC3, 
UFV,Arinos ,Sem cliente final,2024,5256618.11,EPC4, 
UFV ,Babilonia Centro,Casa dos Ventos,2024,4213668.78,EPC4, 
UFV ,Babilonia Sul,Casa dos Ventos,2024,4213668.78,EPC4, 
UFV,Boa Esperança,CEMIG,2024,2229727.26,EPC4, 
UFV,Bom Jardim 1 e 3,Qair,2024,3576177.88,EPC4, 
UFV,Cajú Flutuante,Elera ,2024,1192961.01,EPC4, 
UFV,Capitão Enéas,Sem cliente final,2024,2763781.5,EPC4, 
UFV,Eliseu Martins,Sem cliente final,2024,2900730.17,EPC4, 
UFV,Fótons de São M. FASE 1,Pan American Energy,2024,8548163.49,EPC4, 
UFV,Fótons de São M. FASE 2,Pan American Energy,2024,4842048.0,EPC4, 
SE,Frederico Westphalen,EDPR,Perdeu,882182.94,EPC4, 
UHE ,Funil de Lavras,Aliança Energia,2024,985138.58,EPC4, 
OUT,Futura - Ampliar Autonomia,Eneva,2024,0.0,EPC4, 
UFV,Irapuru,Elera ,2024,7906990.84,EPC4, 
UFV,Irecê II,Sem cliente final,2024,2676053.73,EPC4, 
UFV,Lagoinha,CGN,2024,3856450.4,EPC4, 
UFV,Luis Carlos A,Atlas Renewable,2024,6044932.24,EPC4,CESBE
UFV,Luis Carlos B,Atlas Renewable,2024,7302142.19,EPC4, 
